team,bpi_rank,bpi_rating
NC State,28,NA
NJIT,346,NA
Navy,177,NA
Nebraska,20,NA
Nevada,80,NA
New Hampshire,319,NA
New Haven,324,NA
New Mexico,61,NA
New Mexico State,139,NA
New Orleans,260,NA
Niagara,358,NA
Nicholls,203,NA
Norfolk State,249,NA
North Alabama,320,NA
North Carolina,36,NA
North Carolina A&T,305,NA
North Carolina Central,341,NA
North Dakota,295,NA
North Dakota State,148,NA
North Florida,339,NA
North Texas,122,NA
Northeastern,239,NA
Northern Arizona,304,NA
Northern Colorado,172,NA
Northern Illinois,312,NA
Northern Iowa,107,NA
Northern Kentucky,182,NA
Northwestern,58,NA
Northwestern State,294,NA
Notre Dame,76,NA
Oakland,144,NA
Ohio,190,NA
Ohio State,35,NA
Oklahoma,47,NA
Oklahoma State,77,12
Old Dominion,221,NA
Ole Miss,53,NA
Omaha,288,NA
Oral Roberts,315,NA
Oregon,78,NA
Oregon State,199,NA
Pacific,136,NA
Penn State,110,NA
Pennsylvania,180,NA
Pepperdine,284,NA
Pittsburgh,89,NA
Portland,281,NA
Portland State,192,NA
Prairie View A&M,307,NA
Presbyterian,276,NA
Princeton,246,NA
Providence,59,NA
Purdue,8,NA
Purdue Fort Wayne,202,NA
Queens University,185,NA
Quinnipiac,164,NA
Radford,226,NA
Rhode Island,109,-10
Rice,189,NA
Richmond,127,-10
Rider Broncs,354,NA
Robert Morris,214,NA
Rutgers,119,NA
SE Louisiana,263,NA
SIU Edwardsville,261,NA
SMU,40,NA
Sacramento State,310,NA
Sacred Heart,271,NA
Saint Bonaventure,132,-10
Saint Francis,350,NA
Saint Johns,15,NA
Saint Josephs,161,-10
Saint Louis,33,-10
Saint Marys,38,NA
Saint Peters,236,NA
Saint Thomas-Minnesota,154,NA
Sam Houston,115,NA
Samford,224,NA
San Diego,211,NA
San Diego State,69,NA
San Francisco,97,NA
San Jose State,243,NA
Santa Clara,66,NA
Seattle U,130,NA
Seton Hall,57,NA
Siena,200,NA
South Alabama,195,NA
South Carolina,71,NA
South Carolina State,363,NA
South Carolina Upstate,291,NA
South Dakota,309,NA
South Dakota State,186,NA
South Florida,79,NA
Southeast Missouri State,264,NA
Southern,238,NA
